ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
beta-lactam__OXA-172	0	0
beta-lactam__OXA-173	0	0
beta-lactam__OXA-174	0	0
beta-lactam__OXA-175	0	0
beta-lactam__OXA-176	0	0
beta-lactam__OXA-177	0	0
beta-lactam__OXA-178	0	0
beta-lactam__OXA-179	0	0
beta-lactam__OXA-18	0	0
beta-lactam__OXA-180	0	0
beta-lactam__OXA-181	0	0
beta-lactam__OXA-183	0	0
beta-lactam__OXA-184	0	0
beta-lactam__OXA-19	0	0
beta-lactam__OXA-192	0	0
beta-lactam__OXA-194	0	0
beta-lactam__OXA-195	0	0
beta-lactam__OXA-196	0	0
beta-lactam__OXA-197	0	0
beta-lactam__OXA-2	0	0
beta-lactam__OXA-20	0	0
beta-lactam__OXA-200	0	0
beta-lactam__OXA-201	0	0
beta-lactam__OXA-202	0	0
beta-lactam__OXA-203	0	0
beta-lactam__OXA-205	0	0
beta-lactam__OXA-206	0	0
beta-lactam__OXA-207	0	0
beta-lactam__OXA-208	0	0
beta-lactam__OXA-209	0	0
beta-lactam__OXA-21	0	0
beta-lactam__OXA-210	0	0
beta-lactam__OXA-211	0	0
beta-lactam__OXA-212	0	0
beta-lactam__OXA-213	0	0
beta-lactam__OXA-214	0	0
beta-lactam__OXA-215	0	0
beta-lactam__OXA-216	0	0
beta-lactam__OXA-217	0	0
beta-lactam__OXA-219	0	0
beta-lactam__OXA-22	0	0
beta-lactam__OXA-223	0	0
beta-lactam__OXA-225	0	0
beta-lactam__OXA-226	0	0
beta-lactam__OXA-228	0	0
beta-lactam__OXA-229	0	0
beta-lactam__OXA-23	0	0
beta-lactam__OXA-230	0	0
beta-lactam__OXA-236	0	0
beta-lactam__OXA-237	0	0
beta-lactam__OXA-239	0	0
beta-lactam__OXA-24	0	0
beta-lactam__OXA-240	0	0
beta-lactam__OXA-241	0	0
beta-lactam__OXA-242	0	0
beta-lactam__OXA-243	0	0
beta-lactam__OXA-244	0	0
beta-lactam__OXA-247	0	0
beta-lactam__OXA-248	0	0
beta-lactam__OXA-25	0	0
beta-lactam__OXA-250	0	0
beta-lactam__OXA-251	0	0
beta-lactam__OXA-254	0	0
beta-lactam__OXA-257	0	0
beta-lactam__OXA-258	0	0
beta-lactam__OXA-26	0	0
beta-lactam__OXA-27	0	0
beta-lactam__OXA-278	0	0
beta-lactam__OXA-28	0	0
beta-lactam__OXA-29	0	0
beta-lactam__OXA-3	0	0
beta-lactam__OXA-309	0	0
beta-lactam__OXA-312	0	0
beta-lactam__OXA-313	0	0
beta-lactam__OXA-314	0	0
beta-lactam__OXA-315	0	0
beta-lactam__OXA-316	0	0
beta-lactam__OXA-317	0	0
beta-lactam__OXA-32	0	0
beta-lactam__OXA-322	0	0
beta-lactam__OXA-323	0	0
beta-lactam__OXA-324	0	0
beta-lactam__OXA-325	0	0
beta-lactam__OXA-326	0	0
beta-lactam__OXA-327	0	0
beta-lactam__OXA-328	0	0
beta-lactam__OXA-329	0	0
beta-lactam__OXA-330	0	0
beta-lactam__OXA-331	0	0
beta-lactam__OXA-332	0	0
beta-lactam__OXA-333	0	0
beta-lactam__OXA-334	0	0
beta-lactam__OXA-335	0	0
beta-lactam__OXA-34	0	0
beta-lactam__OXA-348	0	0
beta-lactam__OXA-349	0	0
beta-lactam__OXA-35	0	0
beta-lactam__OXA-350	0	0
beta-lactam__OXA-351	0	0
beta-lactam__OXA-352	0	0
beta-lactam__OXA-353	0	0
beta-lactam__OXA-354	0	0
beta-lactam__OXA-355	0	0
beta-lactam__OXA-356	0	0
beta-lactam__OXA-357	0	0
beta-lactam__OXA-358	0	0
beta-lactam__OXA-359	0	0
beta-lactam__OXA-36	0	0
beta-lactam__OXA-360	0	0
beta-lactam__OXA-361	0	0
beta-lactam__OXA-365	0	0
beta-lactam__OXA-37	0	0
beta-lactam__OXA-370	0	0
beta-lactam__OXA-374	0	0
beta-lactam__OXA-375	0	0
beta-lactam__OXA-376	0	0
beta-lactam__OXA-377	0	0
beta-lactam__OXA-378	0	0
beta-lactam__OXA-379	0	0
beta-lactam__OXA-380	0	0
beta-lactam__OXA-381	0	0
beta-lactam__OXA-382	0	0
beta-lactam__OXA-383	0	0
beta-lactam__OXA-384	0	0
beta-lactam__OXA-385	0	0
beta-lactam__OXA-386	0	0
beta-lactam__OXA-387	0	0
beta-lactam__OXA-388	0	0
beta-lactam__OXA-390	0	0
beta-lactam__OXA-391	0	0
beta-lactam__OXA-4	0	0
beta-lactam__OXA-42	0	0
beta-lactam__OXA-43	0	0
beta-lactam__OXA-46	0	0
beta-lactam__OXA-47	0	0
beta-lactam__OXA-48	0	0
beta-lactam__OXA-49	0	0
beta-lactam__OXA-5	0	0
beta-lactam__OXA-50	0	0
beta-lactam__OXA-51	0	0
beta-lactam__OXA-53	0	0
beta-lactam__OXA-54	0	0
beta-lactam__OXA-55	0	0
beta-lactam__OXA-56	0	0
beta-lactam__OXA-57	0	0
beta-lactam__OXA-58	0	0
beta-lactam__OXA-59	0	0
beta-lactam__OXA-60	0	0
beta-lactam__OXA-61	0	0
beta-lactam__OXA-62	0	0
beta-lactam__OXA-63	0	0
beta-lactam__OXA-64	0	0
beta-lactam__OXA-65	0	0
beta-lactam__OXA-66	0	0
beta-lactam__OXA-67	0	0
beta-lactam__OXA-68	0	0
beta-lactam__OXA-69	0	0
beta-lactam__OXA-7	0	0
beta-lactam__OXA-70	0	0
beta-lactam__OXA-71	0	0
beta-lactam__OXA-72	0	0
beta-lactam__OXA-73	0	0
beta-lactam__OXA-74	0	0
beta-lactam__OXA-75	0	0
beta-lactam__OXA-76	0	0
beta-lactam__OXA-77	0	0
beta-lactam__OXA-78	0	0
beta-lactam__OXA-79	0	0
beta-lactam__OXA-80	0	0
beta-lactam__OXA-82	0	0
beta-lactam__OXA-83	0	0
beta-lactam__OXA-84	0	0
beta-lactam__OXA-85	0	0
beta-lactam__OXA-86	0	0
beta-lactam__OXA-87	0	0
beta-lactam__OXA-88	0	0
beta-lactam__OXA-89	0	0
beta-lactam__OXA-9	0	0
beta-lactam__OXA-90	0	0
beta-lactam__OXA-91	0	0
beta-lactam__OXA-92	0	0
beta-lactam__OXA-93	0	0
beta-lactam__OXA-94	0	0
beta-lactam__OXA-95	0	0
beta-lactam__OXA-96	0	0
beta-lactam__OXA-97	0	0
beta-lactam__OXA-98	0	0
beta-lactam__OXA-99	0	0
beta-lactam__OXY-1	0	0
beta-lactam__OXY-2	0	0
beta-lactam__OXY-3	0	0
beta-lactam__OXY-4	0	0
beta-lactam__OXY-5	0	0
beta-lactam__PBP-1A	0	0
beta-lactam__PBP-1B	0	0
beta-lactam__PBP-2X	0	0
beta-lactam__PDC-1	0	0
beta-lactam__PDC-10	0	0
beta-lactam__PDC-2	0	0
beta-lactam__PDC-3	0	0
beta-lactam__PDC-4	0	0
beta-lactam__PDC-5	0	0
beta-lactam__PDC-6	0	0
beta-lactam__PDC-7	0	0
beta-lactam__PDC-8	0	0
beta-lactam__PDC-9	0	0
beta-lactam__PER-1	0	0
beta-lactam__PER-2	0	0
beta-lactam__PER-3	0	0
beta-lactam__PER-4	0	0
beta-lactam__PER-5	0	0
beta-lactam__PER-6	0	0
beta-lactam__PER-7	0	0
beta-lactam__PSE-1	0	0
beta-lactam__PSE-4	0	0
beta-lactam__ROB-1	0	0
beta-lactam__RTG-4	0	0
beta-lactam__RTG-5	0	0
beta-lactam__SHV	0	0
beta-lactam__SHV-1	0	0
beta-lactam__SHV-100	0	0
beta-lactam__SHV-101	0	0
beta-lactam__SHV-102	0	0
beta-lactam__SHV-105	0	0
beta-lactam__SHV-109	0	0
beta-lactam__SHV-112	0	0
beta-lactam__SHV-12	0	0
beta-lactam__SHV-120	0	0
beta-lactam__SHV-121	0	0
beta-lactam__SHV-128	0	0
beta-lactam__SHV-13	0	0
beta-lactam__SHV-133	0	0
beta-lactam__SHV-134	0	0
beta-lactam__SHV-135	0	0
beta-lactam__SHV-137	0	0
beta-lactam__SHV-14	0	0
beta-lactam__SHV-140	0	0
beta-lactam__SHV-141	0	0
beta-lactam__SHV-142	0	0
beta-lactam__SHV-143	0	0
